DEC16,11,16,2016
JAN17,12,15,2016
FEB17,1,17,2017
MAR17,2,15,2017
APR17,3,16,2017
MAY17,4,17,2017
JUN17,5,17,2017
JLY17,6,15,2017
AUG17,7,17,2017
SEP17,8,17,2017
OCT17,9,15,2017
NOV17,10,17,2017
DEC17,11,15,2017
JAN18,12,14,2017
FEB18,1,17,2018
MAR18,2,14,2018
APR18,3,15,2018
MAY18,4,17,2018
JUN18,5,17,2018
JLY18,6,15,2018
AUG18,7,17,2018
SEP18,8,16,2018
OCT18,9,17,2018
NOV18,10,17,2018
DEC18,11,14,2018
JAN19,12,14,2018
FEB19,1,16,2019
MAR19,2,14,2019
APR19,3,15,2019
MAY19,4,16,2019
JUN19,5,16,2019
JLY19,6,17,2019
AUG19,7,17,2019
SEP19,8,15,2019
OCT19,9,17,2019
NOV19,10,17,2019
DEC19,11,15,2019
JAN20,12,16,2019
FEB20,1,15,2020
MAR20,2,14,2020
APR20,3,17,2020
MAY20,4,16,2020
JUN20,5,14,2020
JLY20,6,17,2020
AUG20,7,16,2020
SEP20,8,17,2020
OCT20,9,17,2020
NOV20,10,15,2020
DEC20,11,17,2020
JAN21,12,16,2020
FEB21,1,14,2021
MAR21,2,17,2021
APR21,3,17,2021
MAY21,4,15,2021
JUN21,5,17,2021
JLY21,6,17,2021
AUG21,7,15,2021
SEP21,8,17,2021
OCT21,9,16,2021
NOV21,10,15,2021
DEC21,11,16,2021
JUN22,5,17,2022
DEC22,11,16,2022
JUN22,5,17,2023
DEC23,11,15,2023
JUN24,5,16,2024
DEC24,11,15,2024
JUN25,5,15,2025
DEC25,11,17,2025